Russian,English
бизнес,business
компания,company
менеджер,manager
продукт,product
рынок,market
клиент,client
конкуренция,competition
финансы,finances
инвестиции,investments
стратегия,strategy
партнер,partner
проект,project
план,plan
прибыль,profit
потребитель,consumer
маркетинг,marketing
продажи,sales
услуга,service
инновации,innovation
развитие,development
капитал,capital
риски,risks
сотрудник,employee
лидер,leader
контракт,contract
переговоры,negotiations
стратегический,strategic
финансовый,financial
результат,result
эффективность,efficiency
интеграция,integration
бюджет,budget
интерес,interest
производство,production
анализ,analysis
консультант,consultant
перспектива,perspective
расширение,expansion
корпорация,corporation
стратегическое планирование,strategic planning
франшиза,franchise
инициатива,initiative
информационные технологии,information technology
сервис,service
сотрудничество,collaboration
система,system
управление,management
реклама,advertising
партнерство,partnership
бренд,brand
операционная деятельность,operations